episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,10,summer,400,4174,-63.170427944402675
1,ODT,1234,10,summer,400,4174,-63.662116101380555
2,ODT,1234,10,summer,400,4174,-63.74256047039188
3,ODT,1234,10,summer,400,4174,-63.59200293861863
4,ODT,1234,10,summer,400,4174,-63.50141576422021
5,ODT,1234,10,summer,400,4174,-63.44099987430053
6,ODT,1234,10,summer,400,4174,-63.56883824461808
7,ODT,1234,10,summer,400,4174,-63.62062264686192
8,ODT,1234,10,summer,400,4174,-63.698289503649285
9,ODT,1234,10,summer,400,4174,-63.793859114886615
10,ODT,1234,10,summer,400,4174,-63.87091654446718
11,ODT,1234,10,summer,400,4174,-63.988519813530445
12,ODT,1234,10,summer,400,4174,-64.1133167268462
13,ODT,1234,10,summer,400,4174,-64.21929950538292
14,ODT,1234,10,summer,400,4174,-64.31020096902972
15,ODT,1234,10,summer,400,4174,-64.43118169333037
16,ODT,1234,10,summer,400,4174,-64.59695364431302
17,ODT,1234,10,summer,400,4174,-64.89127560332982
18,ODT,1234,10,summer,400,4174,-65.24113630004895
19,ODT,1234,10,summer,400,4174,-65.65648998150232
20,ODT,1234,10,summer,400,4174,-66.0325491489982
21,ODT,1234,10,summer,400,4174,-66.3731027444047
22,ODT,1234,10,summer,400,4174,-66.6840086180935
23,ODT,1234,10,summer,400,4174,-66.91237275744457
24,ODT,1234,10,summer,400,4174,-67.08307041175442
25,ODT,1234,10,summer,400,4174,-67.22766929156651
26,ODT,1234,10,summer,400,4174,-67.34861774261702
27,ODT,1234,10,summer,400,4174,-67.47307182504771
28,ODT,1234,10,summer,400,4174,-67.56600656594422
29,ODT,1234,10,summer,400,4174,-67.64159333742421
30,ODT,1234,10,summer,400,4174,-67.70176576509972
31,ODT,1234,10,summer,400,4174,-67.72698011330031
32,ODT,1234,10,summer,400,4174,-67.76041649904475
33,ODT,1234,10,summer,400,4174,-67.8016597674772
