episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,50,spring,80,4144,-65.54057286006596
1,ODT,1234,50,spring,80,4144,-65.54078264170951
2,ODT,1234,50,spring,80,4144,-65.54053222219243
3,ODT,1234,50,spring,80,4144,-65.53981057843117
4,ODT,1234,50,spring,80,4144,-65.53897026990626
5,ODT,1234,50,spring,80,4144,-65.64339925610585
6,ODT,1234,50,spring,80,4144,-65.76562260050717
7,ODT,1234,50,spring,80,4144,-65.7716852658986
8,ODT,1234,50,spring,80,4144,-65.85084370050986
9,ODT,1234,50,spring,80,4144,-65.9136271066105
10,ODT,1234,50,spring,80,4144,-65.96278042781819
11,ODT,1234,50,spring,80,4144,-66.03118347595574
12,ODT,1234,50,spring,80,4144,-66.11463698266336
13,ODT,1234,50,spring,80,4144,-66.23159757576954
14,ODT,1234,50,spring,80,4144,-66.39985776075756
15,ODT,1234,50,spring,80,4144,-66.56674746053824
16,ODT,1234,50,spring,80,4144,-66.73365050447248
17,ODT,1234,50,spring,80,4144,-66.93492567314844
18,ODT,1234,50,spring,80,4144,-67.11376236196406
19,ODT,1234,50,spring,80,4144,-67.24179834069432
20,ODT,1234,50,spring,80,4144,-67.37380448863034
21,ODT,1234,50,spring,80,4144,-67.56683798350916
22,ODT,1234,50,spring,80,4144,-67.72863584851116
23,ODT,1234,50,spring,80,4144,-67.86289106161702
24,ODT,1234,50,spring,80,4144,-67.88194800096946
25,ODT,1234,50,spring,80,4144,-67.91254941036689
26,ODT,1234,50,spring,80,4144,-67.90368834084593
27,ODT,1234,50,spring,80,4144,-67.82472479401724
28,ODT,1234,50,spring,80,4144,-67.83025732606811
29,ODT,1234,50,spring,80,4144,-67.7802886057949
30,ODT,1234,50,spring,80,4144,-67.68004891735406
31,ODT,1234,50,spring,80,4144,-67.63810028217584
32,ODT,1234,50,spring,80,4144,-67.62934481530766
33,ODT,1234,50,spring,80,4144,-67.59162695447604
34,ODT,1234,50,spring,80,4144,-67.57508503725859
35,ODT,1234,50,spring,80,4144,-67.52218247742466
36,ODT,1234,50,spring,80,4144,-67.46307830725969
37,ODT,1234,50,spring,80,4144,-67.43366878214292
38,ODT,1234,50,spring,80,4144,-67.3970754572614
39,ODT,1234,50,spring,80,4144,-67.35390919164617
40,ODT,1234,50,spring,80,4144,-67.32870996014849
41,ODT,1234,50,spring,80,4144,-67.31329360206882
42,ODT,1234,50,spring,80,4144,-67.29095672499803
43,ODT,1234,50,spring,80,4144,-67.29204490557603
44,ODT,1234,50,spring,80,4144,-67.25617211210383
45,ODT,1234,50,spring,80,4144,-67.22123223442988
46,ODT,1234,50,spring,80,4144,-67.16654668070309
47,ODT,1234,50,spring,80,4144,-67.12827484030264
48,ODT,1234,50,spring,80,4144,-67.11913848240914
49,ODT,1234,50,spring,80,4144,-67.09076033191201
50,ODT,1234,50,spring,80,4144,-67.06974755883101
51,ODT,1234,50,spring,80,4144,-67.10050164712126
52,ODT,1234,50,spring,80,4144,-67.12991739250172
53,ODT,1234,50,spring,80,4144,-67.13382585413946
54,ODT,1234,50,spring,80,4144,-67.18521916948008
55,ODT,1234,50,spring,80,4144,-67.20599705975778
56,ODT,1234,50,spring,80,4144,-67.21999078228862
57,ODT,1234,50,spring,80,4144,-67.24457795974254
58,ODT,1234,50,spring,80,4144,-67.26855920033907
59,ODT,1234,50,spring,80,4144,-67.31426859636089
60,ODT,1234,50,spring,80,4144,-67.37446008024271
61,ODT,1234,50,spring,80,4144,-67.38969724514338
62,ODT,1234,50,spring,80,4144,-67.40990003845198
63,ODT,1234,50,spring,80,4144,-67.4763006311312
64,ODT,1234,50,spring,80,4144,-67.53053135367635
65,ODT,1234,50,spring,80,4144,-67.54228183446207
66,ODT,1234,50,spring,80,4144,-67.58852577067432
67,ODT,1234,50,spring,80,4144,-67.6237884616203
68,ODT,1234,50,spring,80,4144,-67.65800689969404
69,ODT,1234,50,spring,80,4144,-67.69559302784221
70,ODT,1234,50,spring,80,4144,-67.69982221346487
71,ODT,1234,50,spring,80,4144,-67.68058968900384
72,ODT,1234,50,spring,80,4144,-67.68008399049387
73,ODT,1234,50,spring,80,4144,-67.6794197303533
74,ODT,1234,50,spring,80,4144,-67.68313724413424
75,ODT,1234,50,spring,80,4144,-67.64718268823788
