episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,10,autumn,400,4165,-65.3302223818874
1,ODT,1234,10,autumn,400,4165,-66.3561261612321
2,ODT,1234,10,autumn,400,4165,-66.6975693686084
3,ODT,1234,10,autumn,400,4165,-66.78484436471952
4,ODT,1234,10,autumn,400,4165,-66.63983808221194
5,ODT,1234,10,autumn,400,4165,-66.48487904732399
6,ODT,1234,10,autumn,400,4165,-66.37415609886364
7,ODT,1234,10,autumn,400,4165,-66.33403356588535
8,ODT,1234,10,autumn,400,4165,-66.29838150803545
9,ODT,1234,10,autumn,400,4165,-66.30280211667679
10,ODT,1234,10,autumn,400,4165,-66.33639328627571
11,ODT,1234,10,autumn,400,4165,-66.39250474988819
12,ODT,1234,10,autumn,400,4165,-66.36142363225804
13,ODT,1234,10,autumn,400,4165,-66.26340851835674
14,ODT,1234,10,autumn,400,4165,-66.17695891383865
15,ODT,1234,10,autumn,400,4165,-66.14320731383498
16,ODT,1234,10,autumn,400,4165,-66.25023480834732
17,ODT,1234,10,autumn,400,4165,-66.32647396367035
18,ODT,1234,10,autumn,400,4165,-66.53367223534416
19,ODT,1234,10,autumn,400,4165,-66.81966868009582
20,ODT,1234,10,autumn,400,4165,-67.03152881312522
21,ODT,1234,10,autumn,400,4165,-67.2532070663601
22,ODT,1234,10,autumn,400,4165,-67.52808740473237
23,ODT,1234,10,autumn,400,4165,-67.779954103452
24,ODT,1234,10,autumn,400,4165,-67.98492954559786
25,ODT,1234,10,autumn,400,4165,-68.13542693657182
26,ODT,1234,10,autumn,400,4165,-68.28690859268558
27,ODT,1234,10,autumn,400,4165,-68.45148156733609
28,ODT,1234,10,autumn,400,4165,-68.59315708021005
29,ODT,1234,10,autumn,400,4165,-68.71419028605287
30,ODT,1234,10,autumn,400,4165,-68.80596460680015
31,ODT,1234,10,autumn,400,4165,-68.88124113860079
32,ODT,1234,10,autumn,400,4165,-68.93177028710748
33,ODT,1234,10,autumn,400,4165,-68.99910677605965
34,ODT,1234,10,autumn,400,4165,-69.09075947043337
35,ODT,1234,10,autumn,400,4165,-69.13136969058965
36,ODT,1234,10,autumn,400,4165,-69.19660646073996
37,ODT,1234,10,autumn,400,4165,-69.27640849223951
38,ODT,1234,10,autumn,400,4165,-69.33494845845706
39,ODT,1234,10,autumn,400,4165,-69.35691557536303
40,ODT,1234,10,autumn,400,4165,-69.40210733153758
41,ODT,1234,10,autumn,400,4165,-69.40587315727313
42,ODT,1234,10,autumn,400,4165,-69.40169617102524
43,ODT,1234,10,autumn,400,4165,-69.40510068459689
44,ODT,1234,10,autumn,400,4165,-69.40145914736519
45,ODT,1234,10,autumn,400,4165,-69.34707054583693
46,ODT,1234,10,autumn,400,4165,-69.27353927994787
47,ODT,1234,10,autumn,400,4165,-69.20317633640036
48,ODT,1234,10,autumn,400,4165,-69.14257919310835
49,ODT,1234,10,autumn,400,4165,-69.07788484675642
50,ODT,1234,10,autumn,400,4165,-68.98347228406071
51,ODT,1234,10,autumn,400,4165,-68.89911630728514
52,ODT,1234,10,autumn,400,4165,-68.8115826523923
53,ODT,1234,10,autumn,400,4165,-68.73337116767607
54,ODT,1234,10,autumn,400,4165,-68.62797503275121
55,ODT,1234,10,autumn,400,4165,-68.52634493518023
56,ODT,1234,10,autumn,400,4165,-68.43982688568022
57,ODT,1234,10,autumn,400,4165,-68.36232907902007
58,ODT,1234,10,autumn,400,4165,-68.31039434528056
59,ODT,1234,10,autumn,400,4165,-68.28829268557313
60,ODT,1234,10,autumn,400,4165,-68.2721093638522
61,ODT,1234,10,autumn,400,4165,-68.22935716369523
62,ODT,1234,10,autumn,400,4165,-68.1879831467046
63,ODT,1234,10,autumn,400,4165,-68.16334785271935
64,ODT,1234,10,autumn,400,4165,-68.13959859619965
65,ODT,1234,10,autumn,400,4165,-68.11697906955506
66,ODT,1234,10,autumn,400,4165,-68.12974925200845
67,ODT,1234,10,autumn,400,4165,-68.10309176954786
68,ODT,1234,10,autumn,400,4165,-68.09673598619224
69,ODT,1234,10,autumn,400,4165,-68.07577974208972
70,ODT,1234,10,autumn,400,4165,-68.04133665270358
71,ODT,1234,10,autumn,400,4165,-68.00804738539625
72,ODT,1234,10,autumn,400,4165,-67.98466302627568
73,ODT,1234,10,autumn,400,4165,-67.97083347727308
74,ODT,1234,10,autumn,400,4165,-67.95734214693981
75,ODT,1234,10,autumn,400,4165,-67.93134030171969
76,ODT,1234,10,autumn,400,4165,-67.92350315313918
77,ODT,1234,10,autumn,400,4165,-67.92390516891525
78,ODT,1234,10,autumn,400,4165,-67.88266078383715
79,ODT,1234,10,autumn,400,4165,-67.83412500466122
80,ODT,1234,10,autumn,400,4165,-67.76574416537848
81,ODT,1234,10,autumn,400,4165,-67.70721603494293
82,ODT,1234,10,autumn,400,4165,-67.66989595415953
83,ODT,1234,10,autumn,400,4165,-67.62967241003959
84,ODT,1234,10,autumn,400,4165,-67.56704822780537
85,ODT,1234,10,autumn,400,4165,-67.51360211533553
86,ODT,1234,10,autumn,400,4165,-67.4651145242486
87,ODT,1234,10,autumn,400,4165,-67.41766336874214
88,ODT,1234,10,autumn,400,4165,-67.3636774927993
89,ODT,1234,10,autumn,400,4165,-67.31828084252012
90,ODT,1234,10,autumn,400,4165,-67.25891021802488
91,ODT,1234,10,autumn,400,4165,-67.20455046136108
92,ODT,1234,10,autumn,400,4165,-67.15183317300361
93,ODT,1234,10,autumn,400,4165,-67.11102159721011
94,ODT,1234,10,autumn,400,4165,-67.06370406473785
95,ODT,1234,10,autumn,400,4165,-67.04140514850046
96,ODT,1234,10,autumn,400,4165,-67.03043876821235
97,ODT,1234,10,autumn,400,4165,-66.9923858844501
98,ODT,1234,10,autumn,400,4165,-66.97516636701775
99,ODT,1234,10,autumn,400,4165,-66.93834759710622
100,ODT,1234,10,autumn,400,4165,-66.91238784242371
101,ODT,1234,10,autumn,400,4165,-66.86706578024788
102,ODT,1234,10,autumn,400,4165,-66.82926501124687
103,ODT,1234,10,autumn,400,4165,-66.792063888113
104,ODT,1234,10,autumn,400,4165,-66.74944796547521
105,ODT,1234,10,autumn,400,4165,-66.7072838964725
106,ODT,1234,10,autumn,400,4165,-66.65957380261234
107,ODT,1234,10,autumn,400,4165,-66.62581636337656
108,ODT,1234,10,autumn,400,4165,-66.57694488965689
109,ODT,1234,10,autumn,400,4165,-66.54389066727579
110,ODT,1234,10,autumn,400,4165,-66.51449447906536
111,ODT,1234,10,autumn,400,4165,-66.47065222401578
112,ODT,1234,10,autumn,400,4165,-66.42764203801745
113,ODT,1234,10,autumn,400,4165,-66.39702729997119
114,ODT,1234,10,autumn,400,4165,-66.3581866592084
115,ODT,1234,10,autumn,400,4165,-66.31734830294063
116,ODT,1234,10,autumn,400,4165,-66.26863982403184
117,ODT,1234,10,autumn,400,4165,-66.24599394499705
118,ODT,1234,10,autumn,400,4165,-66.20723313200793
119,ODT,1234,10,autumn,400,4165,-66.16337793879845
120,ODT,1234,10,autumn,400,4165,-66.12320901188785
121,ODT,1234,10,autumn,400,4165,-66.08344998804195
122,ODT,1234,10,autumn,400,4165,-66.05251243443486
123,ODT,1234,10,autumn,400,4165,-66.01917518739842
124,ODT,1234,10,autumn,400,4165,-65.98384901212911
125,ODT,1234,10,autumn,400,4165,-65.94923582747391
126,ODT,1234,10,autumn,400,4165,-65.91258239661782
127,ODT,1234,10,autumn,400,4165,-65.88181865640685
