Route Index: 2 - Episode: 10 - 0h, 1m, 55s - Average Reward -37.605 - Average IR 0.501 - Epsilon: 0.895
Route Index: 4 - Episode: 9 - 0h, 1m, 45s - Average Reward -37.536 - Average IR 0.501 - Epsilon: 0.904
Route Index: 1 - Episode: 11 - 0h, 2m, 4s - Average Reward -37.95 - Average IR 0.499 - Epsilon: 0.886
Route Index: 3 - Episode: 10 - 0h, 1m, 56s - Average Reward -37.975 - Average IR 0.507 - Epsilon: 0.895
Route Index: 0 - Episode: 12 - 0h, 2m, 13s - Average Reward -38.119 - Average IR 0.504 - Epsilon: 0.878
Route Index: 2 - Episode: 11 - 0h, 2m, 6s - Average Reward -37.518 - Average IR 0.497 - Epsilon: 0.886
Route Index: 4 - Episode: 10 - 0h, 1m, 56s - Average Reward -37.537 - Average IR 0.504 - Epsilon: 0.895
Route Index: 1 - Episode: 12 - 0h, 2m, 15s - Average Reward -38.027 - Average IR 0.503 - Epsilon: 0.878
Route Index: 3 - Episode: 11 - 0h, 2m, 6s - Average Reward -38.127 - Average IR 0.502 - Epsilon: 0.886
Route Index: 0 - Episode: 13 - 0h, 2m, 23s - Average Reward -37.979 - Average IR 0.5 - Epsilon: 0.869
Route Index: 2 - Episode: 12 - 0h, 2m, 16s - Average Reward -37.536 - Average IR 0.501 - Epsilon: 0.878
Route Index: 4 - Episode: 11 - 0h, 2m, 7s - Average Reward -37.517 - Average IR 0.499 - Epsilon: 0.886
Route Index: 1 - Episode: 13 - 0h, 2m, 25s - Average Reward -38.019 - Average IR 0.499 - Epsilon: 0.869
Route Index: 3 - Episode: 12 - 0h, 2m, 17s - Average Reward -38.051 - Average IR 0.506 - Epsilon: 0.878
Route Index: 0 - Episode: 14 - 0h, 2m, 34s - Average Reward -38.074 - Average IR 0.5 - Epsilon: 0.86
Route Index: 2 - Episode: 13 - 0h, 2m, 27s - Average Reward -37.539 - Average IR 0.497 - Epsilon: 0.869
Route Index: 4 - Episode: 12 - 0h, 2m, 18s - Average Reward -37.567 - Average IR 0.503 - Epsilon: 0.878
Route Index: 1 - Episode: 14 - 0h, 2m, 36s - Average Reward -37.888 - Average IR 0.499 - Epsilon: 0.86
Route Index: 3 - Episode: 13 - 0h, 2m, 28s - Average Reward -38.052 - Average IR 0.502 - Epsilon: 0.869
Route Index: 0 - Episode: 15 - 0h, 2m, 44s - Average Reward -38.203 - Average IR 0.502 - Epsilon: 0.851
Route Index: 2 - Episode: 14 - 0h, 2m, 38s - Average Reward -37.588 - Average IR 0.496 - Epsilon: 0.86
Route Index: 4 - Episode: 13 - 0h, 2m, 28s - Average Reward -37.539 - Average IR 0.499 - Epsilon: 0.869
Route Index: 1 - Episode: 15 - 0h, 2m, 47s - Average Reward -37.952 - Average IR 0.501 - Epsilon: 0.851
Route Index: 3 - Episode: 14 - 0h, 2m, 38s - Average Reward -37.969 - Average IR 0.502 - Epsilon: 0.86
Route Index: 0 - Episode: 16 - 0h, 2m, 55s - Average Reward -38.186 - Average IR 0.5 - Epsilon: 0.843
Route Index: 2 - Episode: 15 - 0h, 2m, 48s - Average Reward -37.567 - Average IR 0.498 - Epsilon: 0.851
Route Index: 4 - Episode: 14 - 0h, 2m, 39s - Average Reward -37.499 - Average IR 0.499 - Epsilon: 0.86
Route Index: 1 - Episode: 16 - 0h, 2m, 57s - Average Reward -37.93 - Average IR 0.499 - Epsilon: 0.843
Route Index: 3 - Episode: 15 - 0h, 2m, 49s - Average Reward -38.012 - Average IR 0.504 - Epsilon: 0.851
Route Index: 0 - Episode: 17 - 0h, 3m, 5s - Average Reward -38.108 - Average IR 0.503 - Epsilon: 0.835
Route Index: 2 - Episode: 16 - 0h, 2m, 59s - Average Reward -37.518 - Average IR 0.497 - Epsilon: 0.843
Route Index: 4 - Episode: 15 - 0h, 2m, 49s - Average Reward -37.557 - Average IR 0.501 - Epsilon: 0.851
Route Index: 1 - Episode: 17 - 0h, 3m, 8s - Average Reward -37.884 - Average IR 0.502 - Epsilon: 0.835
Route Index: 3 - Episode: 16 - 0h, 3m, 0s - Average Reward -37.947 - Average IR 0.502 - Epsilon: 0.843
