Average Reward,Episode Num
-490.7243761666667,0
-477.44602375000005,1
-475.0502758333334,2
-471.00246020833333,3
-469.3433436666666,4
-466.10168786111103,5
-470.4162082857142,6
-470.2546528541666,7
-465.5867514259259,8
-461.2996680333334,9
-464.03986690909096,10
-465.33745718055565,11
-466.5844475769231,12
-466.88244439285717,13
-465.7653921222223,14
-463.7662619375,15
-463.55999234313725,16
-460.97914861111116,17
-459.4979306929825,18
-459.3784282083334,19
-458.12107273809534,20
-456.971766159091,21
-456.58407794927535,22
-458.01778850694444,23
-459.4645480666666,24
-459.6658773653845,25
-460.007593111111,26
-458.7662673809523,27
-459.1782020977011,28
-458.0058336388889,29
-457.9966677580645,30
-458.75998171875,31
-456.9018152727273,32
-456.4645177598039,33
-455.64896642857144,34
-455.59129829629626,35
-455.6536956036036,36
-456.67434002631575,37
-455.87131279487176,38
-455.89230924583325,39
-454.7386652845527,40
-455.0558502380951,41
-456.2269032984495,42
-455.9249127916666,43
-456.0295169814814,44
-454.46421397463763,45
-453.9152387304964,46
-453.67969270486105,47
-452.95468531972784,48
-453.3519281866666,49
-453.47759749999994,50
-453.21134854807684,51
-452.73972172327035,52
-452.3727965030863,53
-452.5810439242423,54
-452.13571935119035,55
-451.6162726432747,56
-451.3436749396551,57
-450.5699853813559,58
-450.0223122277777,59
-450.2393496502732,60
-449.72654821505375,61
-449.49539614814813,62
-449.13744217968747,63
-448.5636341102564,64
-447.54602426010103,65
-447.4850809427861,66
-447.2966874681373,67
-447.95328358695656,68
-448.1557923904762,69
-447.829650230047,70
-447.9893299490741,71
-447.63523992009135,72
-447.47649928153163,73
-447.0172393155557,74
-447.3538049298247,75
-446.66857693506506,76
-446.78619515170953,77
-446.52605228270056,78
-446.2492324458335,79
-446.2887051810701,80
-445.8673267459351,81
-445.8485425642572,82
-445.7900734166668,83
-445.55870807843155,84
-445.10221239922504,85
-445.0429474214561,86
-444.690084973485,87
-444.4371616067417,88
-444.41271780000017,89
-443.99965604212474,90
-443.7049877500002,91
-443.29297762724036,92
-442.84785718085124,93
-443.2369413298248,94
-443.0884854236113,95
-443.5873523144332,96
-443.1296383758505,97
-443.12808583670056,98
-442.9443837516668,99
-442.33944144554476,100
-442.5202803758172,101
-442.2323311666669,102
-441.9399779375002,103
-441.6525619111113,104
-441.3897160849059,105
-441.29272317289747,106
-441.33614572993855,107
-441.41476038532136,108
-440.81461456212145,109
-440.6950903258261,110
-440.90913550595263,111
-440.7308411696168,112
-440.5474037923979,113
-440.43573604347847,114
