"([0.5746283054351806, -0.2093093603849411, 0.30862668454647063, 0.5338185906410218, -0.644374492764473, -0.9044644951820373], 0, 0, 0, 1234)","([0.3784672662615776, 0.16015348136425017, 0.7731309458613396, -0.39072442054748535, -0.6546465337276459, -1.0804532289505004], 1, 0, 0, 1234)","([0.17845836281776428, 0.38763455152511594, 0.9789738982915879, -0.09019972681999207, -0.5116123795509339, -1.066181242465973], 2, 0, 0, 1234)","([0.18067342638969422, 0.24071796834468842, 0.9447777837514877, -0.23443926572799684, -0.9948847770690918, -1.3336578905582428], 3, 0, 0, 1234)","([-0.06169178932905197, 0.18670383095741272, 0.6495879024267197, 0.09549339860677719, -0.564217534661293, -0.8355729430913925], 4, 0, 0, 1234)","([0.21456735730171203, -0.3043722569942474, 0.6413003861904144, -0.5497379034757615, -0.7263774544000625, -0.6855861991643906], 5, 0, 0, 1234)","([0.36957931965589524, 0.41414775252342223, 1.0843726456165315, 0.14845741987228395, -0.29296077191829684, -1.7209288954734803], 6, 0, 0, 1234)","([0.2655606523156166, -0.013156422972679138, 0.24332964718341826, 0.5043600976467133, -0.3490493819117546, -0.9900685355067254], 7, 0, 0, 1234)","([-0.007822763919830323, 0.20647824108600615, 0.77251316010952, -0.10349962115287781, -0.4795741766691208, -1.024941900372505], 8, 0, 0, 1234)","([0.09105384647846222, -0.06461274027824401, 0.6375228434801101, -0.29235773384571073, -0.17315632700920106, -0.7297273278236389], 9, 0, 0, 1234)","([0.29275561273097994, -0.3523572087287903, 0.7408451788127423, -0.1543856143951416, -0.6643204748630523, -1.4337296545505525], 10, 0, 0, 1234)","([-0.1486029654741287, -0.1096607506275177, 0.8791492968797684, -0.634443461894989, -0.6957039445638656, -1.3721330881118774], 11, 0, 0, 1234)","([0.15636917799711228, -0.12126036286354065, 0.6549135148525238, 0.16673147082328796, -0.6849000662565231, -1.5615488231182098], 12, 0, 0, 1234)","([-0.28744651572778823, -0.08623850047588348, 0.43536909520626066, -0.10542154312133789, -1.070846837759018, -1.4720128893852233], 13, 0, 0, 1234)","([0.300079208612442, 0.1386941194534302, 0.15464453995227814, -0.42453390806913377, -1.285854485630989, -1.347348952293396], 14, 0, 0, 1234)","([0.06594741344451904, -0.11615476310253144, 0.5829548120498658, 0.21938371956348418, -0.47973263189196585, -1.5307253152132034], 15, 0, 0, 1234)","([0.11931314468383789, -0.5092548906803132, 0.5154768824577332, -0.2394077956676483, -0.41759940385818484, -1.549428816139698], 16, 0, 0, 1234)","([0.42657568156719206, 0.36435697674751283, 0.7846765890717506, 0.13770301043987274, -0.5324257194995881, -1.7947142750024796], 17, 0, 0, 1234)","([-0.03186538815498352, -0.43512846529483795, 0.5970621928572655, -0.6440098688006402, -0.6434420228004456, -2.058262811601162], 18, 0, 0, 1234)","([0.11917134523391723, -0.2231953561306, 0.7940868090838193, -0.3545337915420532, -0.5361147940158844, -1.4391545832157135], 19, 0, 0, 1234)","([-0.5143020063638687, -0.03896002173423767, 0.9699155151844024, -0.013127827644348144, -0.9620426058769226, -1.3260758757591247], 20, 0, 0, 1234)","([-0.2088591307401657, 0.16093309819698334, 0.902633149921894, -0.21576300710439683, -1.1228863567113876, -1.7174609318375587], 21, 0, 0, 1234)","([0.8926189690828323, 0.40138148367404936, 0.07228843718767167, -0.10682765245437623, -1.018340176343918, -1.24600802809], 22, 0, 0, 1234)","([-0.06916816234588623, -0.38468746542930604, 0.46027434468269346, -0.239865642786026, -1.0717793494462966, -1.5481528759002685], 23, 0, 0, 1234)","([-0.20905611515045167, -0.23572922348976136, 0.616186049580574, -0.33481729328632354, -0.2558717727661133, -1.1988024845719338], 24, 0, 0, 1234)"
"([0.28923181965947153, -0.41422166377305986, -0.29312196373939514, 0.5175148881971836, 0.02385508120059967, 0.11406240463256836], 0, 1, 0, 1234)","([0.08628252930939198, -0.04047907292842865, 0.15860698223114014, -0.3917835012078285, 0.0072199985384941105, -0.07217057347297669], 1, 1, 0, 1234)","([-0.11335021629929543, 0.18215104341506957, 0.36916952282190324, -0.10487843453884124, 0.14770085997879506, -0.05480421558022499], 2, 1, 0, 1234)","([-0.11083336472511292, 0.03495032489299774, 0.34576638638973234, -0.24934009984135627, -0.33928298354148867, -0.3175557151436806], 3, 1, 0, 1234)","([-0.35533544346690177, -0.01622960567474365, 0.037547679245471956, 0.08669885993003845, 0.09882801249623299, 0.17701590806245804], 4, 1, 0, 1234)","([-0.07528131157159805, -0.5129137247800827, 0.02724028006196022, -0.5632777273654938, -0.06116751730442047, 0.3306331291794777], 5, 1, 0, 1234)","([0.07633790671825409, 0.2116104245185852, 0.4710918843746185, 0.13912493586540223, 0.36863678842782976, -0.7085218518972397], 6, 1, 0, 1234)","([-0.026133846235461534, -0.21899876594543458, -0.35575811713933947, 0.4898284740746021, 0.3065315023064613, 0.025739796832203864], 7, 1, 0, 1234)","([-0.29384686797857285, 0.00906703993678093, 0.16611554473638535, -0.12005840688943863, 0.1805311232805252, -0.005025757104158401], 8, 1, 0, 1234)","([-0.20209719687700273, -0.26697961390018465, 0.023651567101478577, -0.30207532048225405, 0.48775396347045896, 0.2825052961707115], 9, 1, 0, 1234)","([0.04887007772922516, -0.5088372711092234, 0.16832578033208848, -0.12943748831748964, 0.03308958485722542, -0.3678728468716145], 10, 1, 0, 1234)","([-0.37155140936374664, -0.22790912687778472, 0.3313420169055462, -0.5822725176811219, 0.03629458658397198, -0.2719814330339432], 11, 1, 0, 1234)","([-0.03201751857995987, -0.2143314391374588, 0.13446125984191895, 0.23519840314984322, 0.06893295235931873, -0.43572233319282533], 12, 1, 0, 1234)","([-0.4503225736320019, -0.15640356577932835, -0.06561201512813568, -0.023900382220745087, -0.3008951246738434, -0.3231240510940552], 13, 1, 0, 1234)","([0.15805891454219817, 0.09118650704622269, -0.3371589660644531, -0.29786434806883333, -0.5019014775753021, -0.18247210383415222], 14, 1, 0, 1234)","([-0.05095497965812683, -0.1494586154818535, 0.11602786555886269, 0.3651726059615612, 0.32980137765407563, -0.3521555446088314], 15, 1, 0, 1234)","([0.01514296755194664, -0.5152130424976349, 0.05293532609939575, -0.09771273657679558, 0.40490266429260374, -0.3442834585905075], 16, 1, 0, 1234)","([0.33227527476847174, 0.3672279953956604, 0.3453448750078678, 0.2923318579792976, 0.31022368669509887, -0.569472985714674], 17, 1, 0, 1234)","([-0.10111677646636963, -0.41385209523141386, 0.16037062481045722, -0.47703317310661075, 0.2060382768511772, -0.8130549967288971], 18, 1, 0, 1234)","([0.06958690844476223, -0.18482512533664702, 0.3764993816614151, -0.1651855006814003, 0.3281868020072579, -0.18919725120067596], 19, 1, 0, 1234)","([-0.5493441700935364, 0.011992412433028222, 0.5535018101334572, 0.17849449515342714, -0.08971867710351944, -0.04736810028553009], 20, 1, 0, 1234)","([-0.23639790564775467, 0.2266901820898056, 0.4985515624284744, -0.007528398931026459, -0.23374194651842117, -0.4363010719418526], 21, 1, 0, 1234)","([0.8790073707699776, 0.4798519343137741, -0.32187613993883135, 0.11252569407224655, -0.11671730354428292, 0.04913766980171204], 22, 1, 0, 1234)","([-0.06832635998725892, -0.2902987513691187, 0.07235278189182281, -0.0034082487225532533, -0.16766973733901977, -0.23787885904312134], 23, 1, 0, 1234)","([-0.19489435777068137, -0.1304125614464283, 0.2474555142223835, -0.08758369684219361, 0.6670522771775722, 0.12420174181461334], 24, 1, 0, 1234)"
"([0.2936653420329094, -0.41927453875541687, -0.39167324602603915, 0.490775103867054, 0.03399606943130493, 0.14828846603631973], 0, 2, 0, 1234)","([0.09099738486111164, -0.04494285434484482, 0.059500059485435484, -0.419245733320713, 0.017106032744050027, -0.037654663622379306], 1, 2, 0, 1234)","([-0.10916388109326362, 0.17730558812618255, 0.2707236006855965, -0.13177700936794282, 0.1574462592601776, -0.020801464468240737], 2, 2, 0, 1234)","([-0.10687087774276734, 0.029964633285999298, 0.24729354083538055, -0.27605033814907076, -0.32911304831504823, -0.28409316688776015], 3, 2, 0, 1234)","([-0.3506536282598972, -0.02149864286184311, -0.060980679094791414, 0.05957210063934326, 0.10929053723812103, 0.21144047193229198], 4, 2, 0, 1234)","([-0.07096341252326965, -0.5177282691001892, -0.07146184220910072, -0.5903513813391328, -0.051478487253189084, 0.36467057690024374], 5, 2, 0, 1234)","([0.08057931065559387, 0.20611962005496026, 0.3727542534470558, 0.11242787688970565, 0.3796902671456337, -0.6747795015573501], 6, 2, 0, 1234)","([-0.022177157830446957, -0.22412266321480273, -0.4539963692426682, 0.46284708604216573, 0.31696147471666336, 0.05938559882342816], 7, 2, 0, 1234)","([-0.28986425399780275, 0.0038481749594211578, 0.0676362082362175, -0.14684520438313484, 0.19063570350408554, 0.0290667861700058], 8, 2, 0, 1234)","([-0.19784873649477958, -0.27234478294849396, -0.0737384632229805, -0.32861518412828444, 0.4993652641773224, 0.31688612177968023], 9, 2, 0, 1234)","([0.05638529360294342, -0.5125681757926941, 0.071488893404603, -0.15624231696128846, 0.043842272460460664, -0.33132215589284897], 10, 2, 0, 1234)","([-0.36157448440790174, -0.23073465824127198, 0.23504040166735649, -0.6086746960878372, 0.04800617732107639, -0.23368703722953796], 11, 2, 0, 1234)","([-0.02038478311151266, -0.21633668392896652, 0.03797276467084885, 0.20883691161870957, 0.0807330034673214, -0.39609394073486326], 12, 2, 0, 1234)","([-0.4373575871810317, -0.1579785794019699, -0.16049820482730864, -0.04921777099370957, -0.28792796432971957, -0.28268265128135683], 13, 2, 0, 1234)","([0.1731949582695961, 0.09071359038352966, -0.43180262893438337, -0.3229851555079222, -0.48898452818393706, -0.14110782146453857], 14, 2, 0, 1234)","([-0.03458448424935341, -0.14979559294879435, 0.02206858992576599, 0.34026538729667666, 0.3431432396173477, -0.3103724934160709], 15, 2, 0, 1234)","([0.03185275495052338, -0.5148193895816803, -0.041497164964675905, -0.12213987037539482, 0.4186913067474961, -0.3014507345855236], 16, 2, 0, 1234)","([0.3512177437543869, 0.36824308931827543, 0.2520827680826187, 0.2679706268012524, 0.3249164134263992, -0.525970745831728], 17, 2, 0, 1234)","([-0.08162224441766738, -0.412499026209116, 0.06718525663018227, -0.5013577830046415, 0.2207854114472866, -0.768722765147686], 18, 2, 0, 1234)","([0.09051004983484745, -0.18300141133368014, 0.2840296845883131, -0.18903526291251183, 0.3433529831469059, -0.1440297394990921], 19, 2, 0, 1234)","([-0.527536278963089, 0.014402136206626892, 0.46084292642772196, 0.1544390007853508, -0.07492835558950901, -0.0017671465873718261], 20, 2, 0, 1234)","([-0.2128740519285202, 0.2289753794670105, 0.40676458179950714, -0.03131142780184746, -0.21780546009540558, -0.3900449760258198], 21, 2, 0, 1234)","([0.9036444753408432, 0.482639542222023, -0.4136793792247772, 0.08875559866428376, -0.10078728795051575, 0.09619462490081787], 22, 2, 0, 1234)","([-0.043250611424446105, -0.2870556480251253, -0.01893693134188652, -0.026719796285033227, -0.1516990840435028, -0.1906145840883255], 23, 2, 0, 1234)","([-0.16802600473165513, -0.12709539085626603, 0.15652431324124336, -0.11093014031648636, 0.6829544518142938, 0.17188698649406434], 24, 2, 0, 1234)"
"([0.28470644652843474, -0.43412462919950484, -0.43988468796014785, 0.44868099838495257, 0.022679823637008666, 0.14142818227410317], 0, 3, 0, 1234)","([0.08211178742349148, -0.059784796833992, 0.011203041672706604, -0.4614307522773743, 0.005701716244220734, -0.04475005567073822], 1, 3, 0, 1234)","([-0.1184016764163971, 0.1621815025806427, 0.22218430787324905, -0.17411165535449982, 0.14623382538557053, -0.02736913412809372], 2, 3, 0, 1234)","([-0.1162947654724121, 0.01464753970503807, 0.19874669015407562, -0.3185497960075736, -0.34025134742259977, -0.290667761862278], 3, 3, 0, 1234)","([-0.3595884473994374, -0.036562199145555495, -0.10921522229909897, 0.017608876526355743, 0.0980685107409954, 0.2044804360717535], 4, 3, 0, 1234)","([-0.08011602833867074, -0.5328512012958526, -0.12008243203163146, -0.6327605521306395, -0.06280745565891266, 0.3579017497599125], 5, 3, 0, 1234)","([0.07138018012046814, 0.19090969264507293, 0.3245113275945187, 0.07039655297994614, 0.3685533612966537, -0.6815292537212372], 6, 3, 0, 1234)","([-0.031227085925638675, -0.2393887836486101, -0.5015450499951839, 0.42078113853931426, 0.30663786381483077, 0.05355455540120602], 7, 3, 0, 1234)","([-0.2993472047150135, -0.011498719453811646, 0.019136804342269897, -0.18940272107720374, 0.17944712191820145, 0.02268630191683769], 8, 3, 0, 1234)","([-0.20681212842464447, -0.2871292769908905, -0.12201163172721863, -0.3705356165766716, 0.4880234941840172, 0.310039808601141], 9, 3, 0, 1234)","([0.04777428805828095, -0.5270410165190696, 0.023419750668108464, -0.19849613010883332, 0.03149731457233429, -0.33758887499570844], 10, 3, 0, 1234)","([-0.36985528767108916, -0.24503327757120133, 0.18745526745915414, -0.6507529258728028, 0.03519103862345219, -0.2393966794013977], 11, 3, 0, 1234)","([-0.027895354293286802, -0.23009033203125, -0.009066165238618851, 0.16744954586029054, 0.06767304763197898, -0.40193450897932054], 12, 3, 0, 1234)","([-0.44521853430196645, -0.17181254271417856, -0.20760564059019088, -0.09067154303193092, -0.30159346759319305, -0.2879644572734833], 13, 3, 0, 1234)","([0.1656384587287903, 0.07690925374627114, -0.47862900644540785, -0.36445694901049136, -0.5028419747948647, -0.14602231979370117], 14, 3, 0, 1234)","([-0.04231126680970192, -0.16412571724504232, -0.024896241165697573, 0.2988321490585804, 0.3292189210653305, -0.31496396064758303], 15, 3, 0, 1234)","([0.024421700090169907, -0.5288362815976143, -0.08797406777739525, -0.16371489241719245, 0.4039428155869246, -0.30646646320819854], 16, 3, 0, 1234)","([0.3446173831820488, 0.35440281331539153, 0.20590996891260147, 0.22768377773463727, 0.31051167398691176, -0.530969163030386], 17, 3, 0, 1234)","([-0.08827401325106621, -0.4267179172486067, 0.021137315034866332, -0.5416412752121686, 0.20610844492912292, -0.7736838042736054], 18, 3, 0, 1234)","([0.08408182449638843, -0.1970648467540741, 0.23800334744155408, -0.22888031080365182, 0.32837382778525354, -0.14864134043455124], 19, 3, 0, 1234)","([-0.5343749776482583, -0.00012600086629390716, 0.4146892004646361, 0.1142686054110527, -0.09009401239454747, -0.006327778100967407], 20, 3, 0, 1234)","([-0.2192084014415741, 0.2145140528678894, 0.36096799820661546, -0.0704486358910799, -0.23277791887521743, -0.3943832203745842], 21, 3, 0, 1234)","([0.8973119962960482, 0.46814330071210863, -0.45939525216817856, 0.04981062114238739, -0.11594392657279969, 0.09214593470096588], 22, 3, 0, 1234)","([-0.04999884739518166, -0.30181501535698774, -0.064852374792099, -0.06570800356566905, -0.1672708973288536, -0.19451200664043428], 23, 3, 0, 1234)","([-0.1746310405433178, -0.1420614793896675, 0.11069880053400993, -0.1497940942645073, 0.6675268314778805, 0.16808058321475983], 24, 3, 0, 1234)"
"([0.2610579088330269, -0.4578066349029541, -0.4815343037247658, 0.4012758210301399, -0.003023478388786316, 0.11961302384734154], 0, 4, 0, 1234)","([0.05852316245436669, -0.08346996903419494, -0.030372828245162964, -0.5088156439363957, -0.019985432922840118, -0.06659253537654877], 1, 4, 0, 1234)","([-0.1420232981443405, 0.13851841390132905, 0.18056042231619357, -0.22150335609912872, 0.12043092511594296, -0.04915303960442543], 2, 4, 0, 1234)","([-0.1399843692779541, -0.008985702320933342, 0.15713312923908235, -0.3659803532063961, -0.36599594354629517, -0.3123500257730484], 3, 4, 0, 1234)","([-0.38331390880048277, -0.06012355014681816, -0.15080513954162597, -0.029744134843349458, 0.07236621528863907, 0.18268056958913803], 4, 4, 0, 1234)","([-0.10369333922863007, -0.5564922660589218, -0.16161372996866702, -0.6801330611109734, -0.08859617710113525, 0.3361163541674614], 5, 4, 0, 1234)","([0.0474281907081604, 0.16713437698781491, 0.28294744715094566, 0.02332621142268181, 0.34267623275518416, -0.7029052942991256], 6, 4, 0, 1234)","([-0.05480511672794819, -0.26297305258922277, -0.5430947549641132, 0.37348462641239166, 0.2808819726109505, 0.031771300733089446], 7, 4, 0, 1234)","([-0.32300762347877027, -0.03506256863474846, -0.022425828874111174, -0.23680635765194893, 0.15364417284727097, 0.0008881807327270508], 8, 4, 0, 1234)","([-0.23029428273439406, -0.31077323853969574, -0.16364145008847117, -0.41820893064141273, 0.4622970625758171, 0.2883907683193684], 9, 4, 0, 1234)","([0.024031462520360945, -0.5507063962519169, -0.017710217647254466, -0.24651138484477997, 0.005357846617698669, -0.3607607498764992], 10, 4, 0, 1234)","([-0.3937419593334198, -0.26871975511312485, 0.14675707817077638, -0.6991842657327652, 0.008725276961922646, -0.26352413296699523], 11, 4, 0, 1234)","([-0.05183970332145691, -0.25383550971746444, -0.04951390195637941, 0.11851713806390762, 0.040885626524686816, -0.42651180177927017], 12, 4, 0, 1234)","([-0.46930960305035113, -0.1954559475183487, -0.2478594586253166, -0.14009145200252532, -0.32885211110115053, -0.3129904091358185], 13, 4, 0, 1234)","([0.14166037291288375, 0.053297024592757224, -0.5186599493026733, -0.4141963586211205, -0.5302085667848587, -0.17186062037944794], 14, 4, 0, 1234)","([-0.0663093499839306, -0.18764306101948022, -0.06467610001564025, 0.24867233484983445, 0.30157256722450254, -0.3411919303238392], 15, 4, 0, 1234)","([0.00045483261346817016, -0.55230111181736, -0.12743828371167182, -0.21461102440953256, 0.37605768740177153, -0.33314539641141894], 16, 4, 0, 1234)","([0.32057736739516257, 0.3310626268386841, 0.16627849489450455, 0.1763777256011963, 0.28246002793312075, -0.5577782355248928], 17, 4, 0, 1234)","([-0.11235043555498123, -0.4499965585768223, -0.01815248318016529, -0.5934313610196114, 0.177744297683239, -0.8009384140372277], 18, 4, 0, 1234)","([0.06007894091308117, -0.22026444151997565, 0.19867974929511548, -0.2809994094073772, 0.2997548088431358, -0.17616260200738906], 19, 4, 0, 1234)","([-0.5583281546831131, -0.023198044672608376, 0.3758420256897807, 0.06185284852981567, -0.11893466375768184, -0.034303852915763856], 20, 4, 0, 1234)","([-0.24324014857411386, 0.19152302742004396, 0.32197381034493444, -0.12337804436683655, -0.2618749409914017, -0.4224603846669197], 21, 4, 0, 1234)","([0.8734161518514156, 0.44527878761291506, -0.4981908440589905, -0.003399771451950073, -0.14529510885477065, 0.06371358782052994], 22, 4, 0, 1234)","([-0.07405347973108292, -0.3246730469167233, -0.10343933776021004, -0.11932989843189716, -0.1968765676021576, -0.22301843464374543], 23, 4, 0, 1234)","([-0.1986665517091751, -0.16497973799705506, 0.07210404202342033, -0.20376414358615874, 0.6378509134054184, 0.13917111083865166], 24, 4, 0, 1234)"
