episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,2468,10,spring,400,5111,-71.90340673665068
1,ODT,2468,10,spring,400,5111,-71.54536787219669
2,ODT,2468,10,spring,400,5111,-71.41489217933601
3,ODT,2468,10,spring,400,5111,-71.34825713520075
4,ODT,2468,10,spring,400,5111,-71.30810510689713
5,ODT,2468,10,spring,400,5111,-71.3224937025176
6,ODT,2468,10,spring,400,5111,-71.36831024518207
7,ODT,2468,10,spring,400,5111,-71.37256721448416
8,ODT,2468,10,spring,400,5111,-71.40322297760696
9,ODT,2468,10,spring,400,5111,-71.42752925662016
10,ODT,2468,10,spring,400,5111,-71.48989409740103
11,ODT,2468,10,spring,400,5111,-71.5612832055877
12,ODT,2468,10,spring,400,5111,-71.63970542008019
13,ODT,2468,10,spring,400,5111,-71.760373688064
14,ODT,2468,10,spring,400,5111,-71.86307788009618
15,ODT,2468,10,spring,400,5111,-72.07650119567728
16,ODT,2468,10,spring,400,5111,-72.32377023374971
17,ODT,2468,10,spring,400,5111,-72.55632664248101
18,ODT,2468,10,spring,400,5111,-72.82932668385688
19,ODT,2468,10,spring,400,5111,-73.07508388689644
20,ODT,2468,10,spring,400,5111,-73.35651593596943
21,ODT,2468,10,spring,400,5111,-73.56690049036978
22,ODT,2468,10,spring,400,5111,-73.70483744693256
23,ODT,2468,10,spring,400,5111,-73.78935405099301
24,ODT,2468,10,spring,400,5111,-73.76730128897647
25,ODT,2468,10,spring,400,5111,-73.74602470730231
26,ODT,2468,10,spring,400,5111,-73.70781379555376
27,ODT,2468,10,spring,400,5111,-73.65409057091007
28,ODT,2468,10,spring,400,5111,-73.5697817784432
29,ODT,2468,10,spring,400,5111,-73.50670960705808
30,ODT,2468,10,spring,400,5111,-73.42334410376398
31,ODT,2468,10,spring,400,5111,-73.34534735094067
32,ODT,2468,10,spring,400,5111,-73.30985624237665
33,ODT,2468,10,spring,400,5111,-73.23798152577959
34,ODT,2468,10,spring,400,5111,-73.15709886925546
35,ODT,2468,10,spring,400,5111,-73.09508282677868
36,ODT,2468,10,spring,400,5111,-73.06922639169525
37,ODT,2468,10,spring,400,5111,-73.05175649499078
38,ODT,2468,10,spring,400,5111,-73.00965114918748
39,ODT,2468,10,spring,400,5111,-72.98237543254109
40,ODT,2468,10,spring,400,5111,-72.95736190389594
41,ODT,2468,10,spring,400,5111,-72.95007082659922
42,ODT,2468,10,spring,400,5111,-72.95501784658506
43,ODT,2468,10,spring,400,5111,-72.943307349367
44,ODT,2468,10,spring,400,5111,-72.93753313532186
45,ODT,2468,10,spring,400,5111,-72.92625360643073
46,ODT,2468,10,spring,400,5111,-72.93584263903236
47,ODT,2468,10,spring,400,5111,-72.94026775073999
48,ODT,2468,10,spring,400,5111,-72.93993007131616
49,ODT,2468,10,spring,400,5111,-72.93961720078158
50,ODT,2468,10,spring,400,5111,-72.92468209015263
51,ODT,2468,10,spring,400,5111,-72.9130252599067
52,ODT,2468,10,spring,400,5111,-72.90306666142361
53,ODT,2468,10,spring,400,5111,-72.89325867215476
54,ODT,2468,10,spring,400,5111,-72.8967546572564
55,ODT,2468,10,spring,400,5111,-72.89135226510977
56,ODT,2468,10,spring,400,5111,-72.89891957899255
57,ODT,2468,10,spring,400,5111,-72.90243378670348
58,ODT,2468,10,spring,400,5111,-72.90140614097965
59,ODT,2468,10,spring,400,5111,-72.90415623655504
60,ODT,2468,10,spring,400,5111,-72.89186484361127
61,ODT,2468,10,spring,400,5111,-72.87528826179614
62,ODT,2468,10,spring,400,5111,-72.83107103112485
63,ODT,2468,10,spring,400,5111,-72.81541422195903
64,ODT,2468,10,spring,400,5111,-72.8044089311012
65,ODT,2468,10,spring,400,5111,-72.77804205827752
66,ODT,2468,10,spring,400,5111,-72.74508387448104
67,ODT,2468,10,spring,400,5111,-72.70222783524362
68,ODT,2468,10,spring,400,5111,-72.6750457188706
69,ODT,2468,10,spring,400,5111,-72.61274459174881
70,ODT,2468,10,spring,400,5111,-72.55965366621228
71,ODT,2468,10,spring,400,5111,-72.511116329174
72,ODT,2468,10,spring,400,5111,-72.46808787626676
73,ODT,2468,10,spring,400,5111,-72.44254801307366
74,ODT,2468,10,spring,400,5111,-72.38049096931012
75,ODT,2468,10,spring,400,5111,-72.32702782136488
76,ODT,2468,10,spring,400,5111,-72.2848920009965
77,ODT,2468,10,spring,400,5111,-72.22137454131158
78,ODT,2468,10,spring,400,5111,-72.16257166459144
79,ODT,2468,10,spring,400,5111,-72.11143779417264
80,ODT,2468,10,spring,400,5111,-72.0490698312944
81,ODT,2468,10,spring,400,5111,-72.01604682716146
82,ODT,2468,10,spring,400,5111,-71.96243167101868
83,ODT,2468,10,spring,400,5111,-71.89210073804436
84,ODT,2468,10,spring,400,5111,-71.85331247974203
85,ODT,2468,10,spring,400,5111,-71.7978564916344
86,ODT,2468,10,spring,400,5111,-71.74921153157399
87,ODT,2468,10,spring,400,5111,-71.71024773337432
88,ODT,2468,10,spring,400,5111,-71.65775418438906
89,ODT,2468,10,spring,400,5111,-71.59856908704577
90,ODT,2468,10,spring,400,5111,-71.5428139966025
91,ODT,2468,10,spring,400,5111,-71.48050744008079
92,ODT,2468,10,spring,400,5111,-71.41952253013572
93,ODT,2468,10,spring,400,5111,-71.36521449225167
94,ODT,2468,10,spring,400,5111,-71.31962137307391
95,ODT,2468,10,spring,400,5111,-71.26995737157968
96,ODT,2468,10,spring,400,5111,-71.21332553753207
97,ODT,2468,10,spring,400,5111,-71.15536045807771
98,ODT,2468,10,spring,400,5111,-71.0883829697069
99,ODT,2468,10,spring,400,5111,-71.0354314546274
100,ODT,2468,10,spring,400,5111,-70.97082681225292
101,ODT,2468,10,spring,400,5111,-70.90757854411717
102,ODT,2468,10,spring,400,5111,-70.84577261353847
103,ODT,2468,10,spring,400,5111,-70.78267432107091
104,ODT,2468,10,spring,400,5111,-70.72548439301114
105,ODT,2468,10,spring,400,5111,-70.6670403370822
106,ODT,2468,10,spring,400,5111,-70.60297661929617
107,ODT,2468,10,spring,400,5111,-70.54455240101535
108,ODT,2468,10,spring,400,5111,-70.48047347013782
109,ODT,2468,10,spring,400,5111,-70.42644107607858
110,ODT,2468,10,spring,400,5111,-70.36889533537125
111,ODT,2468,10,spring,400,5111,-70.32139495536258
112,ODT,2468,10,spring,400,5111,-70.26344335161644
113,ODT,2468,10,spring,400,5111,-70.21326820884013
114,ODT,2468,10,spring,400,5111,-70.16840805285206
115,ODT,2468,10,spring,400,5111,-70.12022248044138
116,ODT,2468,10,spring,400,5111,-70.07471643448723
117,ODT,2468,10,spring,400,5111,-70.01948688900524
118,ODT,2468,10,spring,400,5111,-69.973621448452
119,ODT,2468,10,spring,400,5111,-69.92210832211194
120,ODT,2468,10,spring,400,5111,-69.87968398822326
121,ODT,2468,10,spring,400,5111,-69.83364623287741
122,ODT,2468,10,spring,400,5111,-69.79891130431359
123,ODT,2468,10,spring,400,5111,-69.76278479433422
124,ODT,2468,10,spring,400,5111,-69.7208724178592
125,ODT,2468,10,spring,400,5111,-69.67003629771683
126,ODT,2468,10,spring,400,5111,-69.6317214293819
127,ODT,2468,10,spring,400,5111,-69.59195182991336
128,ODT,2468,10,spring,400,5111,-69.54712853238023
129,ODT,2468,10,spring,400,5111,-69.50454469830744
130,ODT,2468,10,spring,400,5111,-69.4628296173649
131,ODT,2468,10,spring,400,5111,-69.41987214096625
132,ODT,2468,10,spring,400,5111,-69.38505394570338
133,ODT,2468,10,spring,400,5111,-69.34694317849566
134,ODT,2468,10,spring,400,5111,-69.30571391753229
135,ODT,2468,10,spring,400,5111,-69.26504033516561
136,ODT,2468,10,spring,400,5111,-69.22497243523334
137,ODT,2468,10,spring,400,5111,-69.18193006393037
138,ODT,2468,10,spring,400,5111,-69.13952695504334
139,ODT,2468,10,spring,400,5111,-69.10307702365465
140,ODT,2468,10,spring,400,5111,-69.0655331434257
141,ODT,2468,10,spring,400,5111,-69.0336014961219
142,ODT,2468,10,spring,400,5111,-68.99846187178728
143,ODT,2468,10,spring,400,5111,-68.95730955821931
144,ODT,2468,10,spring,400,5111,-68.91850670001449
145,ODT,2468,10,spring,400,5111,-68.8819899603847
146,ODT,2468,10,spring,400,5111,-68.84583332055529
