episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,3702,10,summer,400,6138,-86.5298744422315
1,ODT,3702,10,summer,400,6138,-86.28044604507667
2,ODT,3702,10,summer,400,6138,-85.95026706325037
3,ODT,3702,10,summer,400,6138,-85.47661411492508
4,ODT,3702,10,summer,400,6138,-85.19317726562149
5,ODT,3702,10,summer,400,6138,-85.00709723875784
6,ODT,3702,10,summer,400,6138,-85.055033677055
7,ODT,3702,10,summer,400,6138,-85.15243221922829
8,ODT,3702,10,summer,400,6138,-85.28488002694273
9,ODT,3702,10,summer,400,6138,-85.16692983425435
10,ODT,3702,10,summer,400,6138,-84.95845722786086
11,ODT,3702,10,summer,400,6138,-84.80473163282578
12,ODT,3702,10,summer,400,6138,-84.59944105020911
13,ODT,3702,10,summer,400,6138,-84.37137718280162
14,ODT,3702,10,summer,400,6138,-84.20583733260901
15,ODT,3702,10,summer,400,6138,-84.12199250761626
16,ODT,3702,10,summer,400,6138,-84.06146811487504
17,ODT,3702,10,summer,400,6138,-83.99348081200623
18,ODT,3702,10,summer,400,6138,-83.85331216529076
19,ODT,3702,10,summer,400,6138,-83.68958374905867
20,ODT,3702,10,summer,400,6138,-83.48264318968427
21,ODT,3702,10,summer,400,6138,-83.28305713398049
22,ODT,3702,10,summer,400,6138,-83.12245352936593
23,ODT,3702,10,summer,400,6138,-82.90324001610331
24,ODT,3702,10,summer,400,6138,-82.74161960544377
25,ODT,3702,10,summer,400,6138,-82.5728617425196
26,ODT,3702,10,summer,400,6138,-82.43508871682185
27,ODT,3702,10,summer,400,6138,-82.28089302945511
28,ODT,3702,10,summer,400,6138,-82.11104385787017
29,ODT,3702,10,summer,400,6138,-81.9946242750851
30,ODT,3702,10,summer,400,6138,-81.90718415204783
31,ODT,3702,10,summer,400,6138,-81.75450443086814
32,ODT,3702,10,summer,400,6138,-81.62644410877866
33,ODT,3702,10,summer,400,6138,-81.51350593425515
34,ODT,3702,10,summer,400,6138,-81.41400344167029
35,ODT,3702,10,summer,400,6138,-81.31981888606788
36,ODT,3702,10,summer,400,6138,-81.21066177094956
37,ODT,3702,10,summer,400,6138,-81.09367839985684
38,ODT,3702,10,summer,400,6138,-80.96333423545146
39,ODT,3702,10,summer,400,6138,-80.82788683896571
40,ODT,3702,10,summer,400,6138,-80.7353537169664
41,ODT,3702,10,summer,400,6138,-80.62331436578562
42,ODT,3702,10,summer,400,6138,-80.51669393563546
43,ODT,3702,10,summer,400,6138,-80.4035299513862
44,ODT,3702,10,summer,400,6138,-80.3174680340265
45,ODT,3702,10,summer,400,6138,-80.21893504163107
46,ODT,3702,10,summer,400,6138,-80.13053294014355
47,ODT,3702,10,summer,400,6138,-80.0038048840222
48,ODT,3702,10,summer,400,6138,-79.87704727597861
49,ODT,3702,10,summer,400,6138,-79.77579308387425
50,ODT,3702,10,summer,400,6138,-79.69756111333872
51,ODT,3702,10,summer,400,6138,-79.62737672182513
52,ODT,3702,10,summer,400,6138,-79.56031876605653
53,ODT,3702,10,summer,400,6138,-79.49071442303837
54,ODT,3702,10,summer,400,6138,-79.38732967256439
55,ODT,3702,10,summer,400,6138,-79.30097651808676
56,ODT,3702,10,summer,400,6138,-79.19562125029101
57,ODT,3702,10,summer,400,6138,-79.09460716365915
58,ODT,3702,10,summer,400,6138,-79.0093140154029
59,ODT,3702,10,summer,400,6138,-78.8897669848503
60,ODT,3702,10,summer,400,6138,-78.80247504106866
61,ODT,3702,10,summer,400,6138,-78.72206829067973
62,ODT,3702,10,summer,400,6138,-78.62543704752628
63,ODT,3702,10,summer,400,6138,-78.54656656108686
64,ODT,3702,10,summer,400,6138,-78.43551390415384
65,ODT,3702,10,summer,400,6138,-78.34750622034409
66,ODT,3702,10,summer,400,6138,-78.27322574257772
67,ODT,3702,10,summer,400,6138,-78.18360447837847
68,ODT,3702,10,summer,400,6138,-78.04976396986453
69,ODT,3702,10,summer,400,6138,-77.94459474975177
70,ODT,3702,10,summer,400,6138,-77.85310309806762
71,ODT,3702,10,summer,400,6138,-77.76712957251557
72,ODT,3702,10,summer,400,6138,-77.68394192384957
73,ODT,3702,10,summer,400,6138,-77.59610850480881
74,ODT,3702,10,summer,400,6138,-77.49361009310947
75,ODT,3702,10,summer,400,6138,-77.38780780975209
76,ODT,3702,10,summer,400,6138,-77.29471251224301
77,ODT,3702,10,summer,400,6138,-77.19077477494508
78,ODT,3702,10,summer,400,6138,-77.08939785496952
79,ODT,3702,10,summer,400,6138,-76.98756594606324
80,ODT,3702,10,summer,400,6138,-76.90381279519985
81,ODT,3702,10,summer,400,6138,-76.83475440020374
82,ODT,3702,10,summer,400,6138,-76.74929286048994
83,ODT,3702,10,summer,400,6138,-76.6742806574294
84,ODT,3702,10,summer,400,6138,-76.58065821002128
85,ODT,3702,10,summer,400,6138,-76.50083957065947
86,ODT,3702,10,summer,400,6138,-76.3939926857314
87,ODT,3702,10,summer,400,6138,-76.29006382093762
88,ODT,3702,10,summer,400,6138,-76.18551267757441
89,ODT,3702,10,summer,400,6138,-76.06676830419636
90,ODT,3702,10,summer,400,6138,-75.9555339661882
91,ODT,3702,10,summer,400,6138,-75.84142731393825
92,ODT,3702,10,summer,400,6138,-75.73552037058667
93,ODT,3702,10,summer,400,6138,-75.62901500833821
94,ODT,3702,10,summer,400,6138,-75.52219379548868
95,ODT,3702,10,summer,400,6138,-75.42026560125991
96,ODT,3702,10,summer,400,6138,-75.3122504807493
97,ODT,3702,10,summer,400,6138,-75.20421527882452
98,ODT,3702,10,summer,400,6138,-75.09337357937187
99,ODT,3702,10,summer,400,6138,-74.9918905837248
100,ODT,3702,10,summer,400,6138,-74.90490519601418
101,ODT,3702,10,summer,400,6138,-74.81224535225232
102,ODT,3702,10,summer,400,6138,-74.71657886774977
103,ODT,3702,10,summer,400,6138,-74.6201208097203
104,ODT,3702,10,summer,400,6138,-74.52326470001088
105,ODT,3702,10,summer,400,6138,-74.42910720288688
106,ODT,3702,10,summer,400,6138,-74.33635036554622
107,ODT,3702,10,summer,400,6138,-74.23605267622676
108,ODT,3702,10,summer,400,6138,-74.13962096596394
109,ODT,3702,10,summer,400,6138,-74.04922680126002
110,ODT,3702,10,summer,400,6138,-73.95861042049961
111,ODT,3702,10,summer,400,6138,-73.87591810954028
112,ODT,3702,10,summer,400,6138,-73.78838120635177
113,ODT,3702,10,summer,400,6138,-73.69992095392577
114,ODT,3702,10,summer,400,6138,-73.61534775809638
115,ODT,3702,10,summer,400,6138,-73.53401035418011
116,ODT,3702,10,summer,400,6138,-73.45634396865226
117,ODT,3702,10,summer,400,6138,-73.37363648700516
118,ODT,3702,10,summer,400,6138,-73.29417787002535
119,ODT,3702,10,summer,400,6138,-73.21853819929092
120,ODT,3702,10,summer,400,6138,-73.15403059422485
121,ODT,3702,10,summer,400,6138,-73.08050751695387
122,ODT,3702,10,summer,400,6138,-73.012495258378
123,ODT,3702,10,summer,400,6138,-72.93967061462634
124,ODT,3702,10,summer,400,6138,-72.87769876012553
125,ODT,3702,10,summer,400,6138,-72.80518310953198
126,ODT,3702,10,summer,400,6138,-72.73748968728721
127,ODT,3702,10,summer,400,6138,-72.67125665833656
128,ODT,3702,10,summer,400,6138,-72.60609452540223
129,ODT,3702,10,summer,400,6138,-72.54180425129125
130,ODT,3702,10,summer,400,6138,-72.47995963940974
131,ODT,3702,10,summer,400,6138,-72.41376802431964
132,ODT,3702,10,summer,400,6138,-72.35211112540293
133,ODT,3702,10,summer,400,6138,-72.2971295035331
134,ODT,3702,10,summer,400,6138,-72.23566696851704
135,ODT,3702,10,summer,400,6138,-72.17497002084797
136,ODT,3702,10,summer,400,6138,-72.1133038608671
137,ODT,3702,10,summer,400,6138,-72.04917434173727
138,ODT,3702,10,summer,400,6138,-71.98949448457003
139,ODT,3702,10,summer,400,6138,-71.937812677349
140,ODT,3702,10,summer,400,6138,-71.8812171739902
141,ODT,3702,10,summer,400,6138,-71.82920043925478
142,ODT,3702,10,summer,400,6138,-71.7743993865422
143,ODT,3702,10,summer,400,6138,-71.71859732487738
144,ODT,3702,10,summer,400,6138,-71.66364532634675
