model,season,avg_reward,std_reward
DQN,autumn,-66.61701117356111,2.394721987664526
DQN,spring,-68.25577538676659,2.5049117007226642
DQN,summer,-66.98569581869003,2.2589726859530184
DQN,winter,-70.58108471570459,2.5646387731351563
REINFORCE,autumn,-63.34241208610941,0.8829574853415658
REINFORCE,spring,-64.95841998310495,0.9661936221875146
REINFORCE,summer,-62.61585390140787,0.8589439252083308
REINFORCE,winter,-66.15126358171223,1.0158494790718875
