episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,4,winter,1000,4156,-69.09506382549763
1,ODT,1234,4,winter,1000,4156,-69.3490310952759
2,ODT,1234,4,winter,1000,4156,-69.85422555979095
3,ODT,1234,4,winter,1000,4156,-70.10667975259783
4,ODT,1234,4,winter,1000,4156,-69.90373881392004
5,ODT,1234,4,winter,1000,4156,-69.72569965756418
6,ODT,1234,4,winter,1000,4156,-69.5989173552057
7,ODT,1234,4,winter,1000,4156,-69.50234941062035
8,ODT,1234,4,winter,1000,4156,-69.45501037251209
9,ODT,1234,4,winter,1000,4156,-69.48988390254452
10,ODT,1234,4,winter,1000,4156,-69.53987158667111
11,ODT,1234,4,winter,1000,4156,-69.64080718465489
12,ODT,1234,4,winter,1000,4156,-69.76326979542422
13,ODT,1234,4,winter,1000,4156,-69.90291040843759
14,ODT,1234,4,winter,1000,4156,-70.04022033971405
15,ODT,1234,4,winter,1000,4156,-70.20433116039247
16,ODT,1234,4,winter,1000,4156,-70.45156285372343
17,ODT,1234,4,winter,1000,4156,-70.72586826360755
18,ODT,1234,4,winter,1000,4156,-71.03597732764433
19,ODT,1234,4,winter,1000,4156,-71.38963455955852
20,ODT,1234,4,winter,1000,4156,-71.62733470128593
21,ODT,1234,4,winter,1000,4156,-71.8654367051196
22,ODT,1234,4,winter,1000,4156,-72.092930576266
23,ODT,1234,4,winter,1000,4156,-72.32217900494933
24,ODT,1234,4,winter,1000,4156,-72.49346486035395
25,ODT,1234,4,winter,1000,4156,-72.64280234380456
26,ODT,1234,4,winter,1000,4156,-72.7433193279314
27,ODT,1234,4,winter,1000,4156,-72.81962000434211
28,ODT,1234,4,winter,1000,4156,-72.95898848207565
29,ODT,1234,4,winter,1000,4156,-73.03074671916676
30,ODT,1234,4,winter,1000,4156,-73.04210621050989
31,ODT,1234,4,winter,1000,4156,-73.03759457422458
32,ODT,1234,4,winter,1000,4156,-73.02497272889717
33,ODT,1234,4,winter,1000,4156,-73.03525900309857
34,ODT,1234,4,winter,1000,4156,-73.04484652069385
35,ODT,1234,4,winter,1000,4156,-73.03319439820423
36,ODT,1234,4,winter,1000,4156,-73.04920248878261
37,ODT,1234,4,winter,1000,4156,-73.06468143818543
38,ODT,1234,4,winter,1000,4156,-73.07916476509806
39,ODT,1234,4,winter,1000,4156,-73.05568008571399
40,ODT,1234,4,winter,1000,4156,-73.06936277916816
41,ODT,1234,4,winter,1000,4156,-73.02910045636388
42,ODT,1234,4,winter,1000,4156,-72.95021093655183
43,ODT,1234,4,winter,1000,4156,-72.90306102755981
44,ODT,1234,4,winter,1000,4156,-72.86918823885628
45,ODT,1234,4,winter,1000,4156,-72.76638369500488
46,ODT,1234,4,winter,1000,4156,-72.6575720871434
47,ODT,1234,4,winter,1000,4156,-72.56340185006819
48,ODT,1234,4,winter,1000,4156,-72.45825737398232
49,ODT,1234,4,winter,1000,4156,-72.35230628454043
50,ODT,1234,4,winter,1000,4156,-72.26135746291564
51,ODT,1234,4,winter,1000,4156,-72.18350182574292
52,ODT,1234,4,winter,1000,4156,-72.08036409404252
53,ODT,1234,4,winter,1000,4156,-71.9763594366132
54,ODT,1234,4,winter,1000,4156,-71.89397471798256
55,ODT,1234,4,winter,1000,4156,-71.82832532995931
56,ODT,1234,4,winter,1000,4156,-71.76059972827832
57,ODT,1234,4,winter,1000,4156,-71.71670408212509
