episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,50,autumn,80,4162,-64.5767011045217
1,ODT,1234,50,autumn,80,4162,-64.57755000724907
2,ODT,1234,50,autumn,80,4162,-64.66016813393192
3,ODT,1234,50,autumn,80,4162,-64.70150350355027
4,ODT,1234,50,autumn,80,4162,-64.62581881063029
5,ODT,1234,50,autumn,80,4162,-64.57702348238783
6,ODT,1234,50,autumn,80,4162,-64.23318254497978
7,ODT,1234,50,autumn,80,4162,-63.97503967956698
8,ODT,1234,50,autumn,80,4162,-63.84838475354473
9,ODT,1234,50,autumn,80,4162,-63.80984935695644
10,ODT,1234,50,autumn,80,4162,-63.74785261380192
11,ODT,1234,50,autumn,80,4162,-63.69432591371744
12,ODT,1234,50,autumn,80,4162,-63.72634773367046
13,ODT,1234,50,autumn,80,4162,-63.801558903017906
14,ODT,1234,50,autumn,80,4162,-63.864499293865364
15,ODT,1234,50,autumn,80,4162,-64.0029365435413
16,ODT,1234,50,autumn,80,4162,-64.16266784235724
17,ODT,1234,50,autumn,80,4162,-64.37822393882304
18,ODT,1234,50,autumn,80,4162,-64.57022574887873
19,ODT,1234,50,autumn,80,4162,-64.77581929484344
20,ODT,1234,50,autumn,80,4162,-64.91481493669625
21,ODT,1234,50,autumn,80,4162,-65.05551111324608
22,ODT,1234,50,autumn,80,4162,-65.12594979271564
23,ODT,1234,50,autumn,80,4162,-65.10660258300034
24,ODT,1234,50,autumn,80,4162,-65.00881158370431
25,ODT,1234,50,autumn,80,4162,-64.91811939054801
26,ODT,1234,50,autumn,80,4162,-64.8340058574975
27,ODT,1234,50,autumn,80,4162,-64.75637107257327
28,ODT,1234,50,autumn,80,4162,-64.67205543611861
29,ODT,1234,50,autumn,80,4162,-64.58263849786997
30,ODT,1234,50,autumn,80,4162,-64.49905584644958
31,ODT,1234,50,autumn,80,4162,-64.44121183635369
32,ODT,1234,50,autumn,80,4162,-64.36671822008098
33,ODT,1234,50,autumn,80,4162,-64.3066312046562
34,ODT,1234,50,autumn,80,4162,-64.26864582188874
35,ODT,1234,50,autumn,80,4162,-64.23305781202893
36,ODT,1234,50,autumn,80,4162,-64.1811623789615
37,ODT,1234,50,autumn,80,4162,-64.14117649892853
38,ODT,1234,50,autumn,80,4162,-64.11174404540806
39,ODT,1234,50,autumn,80,4162,-64.07505020868916
40,ODT,1234,50,autumn,80,4162,-64.04005719412511
41,ODT,1234,50,autumn,80,4162,-64.02272414101172
42,ODT,1234,50,autumn,80,4162,-63.998432507998395
43,ODT,1234,50,autumn,80,4162,-63.96028317725791
44,ODT,1234,50,autumn,80,4162,-63.946163245000854
45,ODT,1234,50,autumn,80,4162,-63.93951842526582
46,ODT,1234,50,autumn,80,4162,-63.91889196316044
47,ODT,1234,50,autumn,80,4162,-63.90614333892042
48,ODT,1234,50,autumn,80,4162,-63.88078153702918
49,ODT,1234,50,autumn,80,4162,-63.87610234012299
50,ODT,1234,50,autumn,80,4162,-63.86571894208435
51,ODT,1234,50,autumn,80,4162,-63.88118029960822
52,ODT,1234,50,autumn,80,4162,-63.88969463287281
53,ODT,1234,50,autumn,80,4162,-63.89778027210965
54,ODT,1234,50,autumn,80,4162,-63.941760698930395
55,ODT,1234,50,autumn,80,4162,-63.984259232945945
56,ODT,1234,50,autumn,80,4162,-64.02540748902861
57,ODT,1234,50,autumn,80,4162,-64.07625950992806
58,ODT,1234,50,autumn,80,4162,-64.11993763299078
59,ODT,1234,50,autumn,80,4162,-64.18444183149695
60,ODT,1234,50,autumn,80,4162,-64.25182283392554
61,ODT,1234,50,autumn,80,4162,-64.27400732175245
62,ODT,1234,50,autumn,80,4162,-64.36454999679103
63,ODT,1234,50,autumn,80,4162,-64.4731592481588
64,ODT,1234,50,autumn,80,4162,-64.54743643590068
65,ODT,1234,50,autumn,80,4162,-64.60946518420081
66,ODT,1234,50,autumn,80,4162,-64.69429009094291
67,ODT,1234,50,autumn,80,4162,-64.7423931762736
68,ODT,1234,50,autumn,80,4162,-64.8038521009138
69,ODT,1234,50,autumn,80,4162,-64.85847340830021
70,ODT,1234,50,autumn,80,4162,-64.87863526800058
71,ODT,1234,50,autumn,80,4162,-64.88460014026978
72,ODT,1234,50,autumn,80,4162,-64.90869905381182
73,ODT,1234,50,autumn,80,4162,-64.93183692611616
74,ODT,1234,50,autumn,80,4162,-64.96357305195295
75,ODT,1234,50,autumn,80,4162,-64.95957042293703
