episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,1234,2,spring,200,3000,-65.65311885200488
1,ODT,1234,2,spring,200,3000,-65.65311885200488
2,ODT,1234,2,spring,200,3000,-65.65962098827667
3,ODT,1234,2,spring,200,3000,-65.66287205641257
4,ODT,1234,2,spring,200,3000,-65.66502330052172
5,ODT,1234,2,spring,200,3000,-65.66527014848856
6,ODT,1234,2,spring,200,3000,-65.66427646977004
7,ODT,1234,2,spring,200,3000,-65.66341986999977
8,ODT,1234,2,spring,200,3000,-65.66193281639619
9,ODT,1234,2,spring,200,3000,-65.66074257544031
10,ODT,1234,2,spring,200,3000,-65.65895790284843
11,ODT,1234,2,spring,200,3000,-65.65890459625554
12,ODT,1234,2,spring,200,3000,-65.6592849380859
13,ODT,1234,2,spring,200,3000,-65.86028769899838
14,ODT,1234,2,spring,200,3000,-66.16775884250188
15,ODT,1234,2,spring,200,3000,-66.7461140546184
16,ODT,1234,2,spring,200,3000,-67.25528053509537
17,ODT,1234,2,spring,200,3000,-67.70787573673029
18,ODT,1234,2,spring,200,3000,-68.06242870323123
19,ODT,1234,2,spring,200,3000,-68.38310112306587
20,ODT,1234,2,spring,200,3000,-68.39393515904646
21,ODT,1234,2,spring,200,3000,-68.40414339170492
22,ODT,1234,2,spring,200,3000,-68.58566873887635
23,ODT,1234,2,spring,200,3000,-68.79535271125587
24,ODT,1234,2,spring,200,3000,-68.9898050198291
25,ODT,1234,2,spring,200,3000,-69.1307911397735
26,ODT,1234,2,spring,200,3000,-69.22554398820022
27,ODT,1234,2,spring,200,3000,-69.31488825950511
28,ODT,1234,2,spring,200,3000,-69.46671050651443
29,ODT,1234,2,spring,200,3000,-69.57560037729127
30,ODT,1234,2,spring,200,3000,-69.67747035782035
31,ODT,1234,2,spring,200,3000,-69.77439822651526
32,ODT,1234,2,spring,200,3000,-69.80427370806251
33,ODT,1234,2,spring,200,3000,-69.80512318110428
34,ODT,1234,2,spring,200,3000,-69.805982931728
35,ODT,1234,2,spring,200,3000,-69.75063808059762
36,ODT,1234,2,spring,200,3000,-69.77904679494539
37,ODT,1234,2,spring,200,3000,-69.67541465351823
38,ODT,1234,2,spring,200,3000,-69.60176151823744
39,ODT,1234,2,spring,200,3000,-69.60659906419745
40,ODT,1234,2,spring,200,3000,-69.58759095572321
41,ODT,1234,2,spring,200,3000,-69.52253380381846
42,ODT,1234,2,spring,200,3000,-69.53049864176253
43,ODT,1234,2,spring,200,3000,-69.4930007736411
44,ODT,1234,2,spring,200,3000,-69.61164372902776
