episode,algorithm,seed,num_aggs,season,eps_per_agg,exp_num,cumulative_reward
0,ODT,3702,10,spring,400,6147,-91.4432948659513
1,ODT,3702,10,spring,400,6147,-91.44359964467384
2,ODT,3702,10,spring,400,6147,-91.5302191326465
3,ODT,3702,10,spring,400,6147,-91.76633225900984
4,ODT,3702,10,spring,400,6147,-91.9142380019548
5,ODT,3702,10,spring,400,6147,-92.05805437845963
6,ODT,3702,10,spring,400,6147,-92.3439491847288
7,ODT,3702,10,spring,400,6147,-92.7486661286939
8,ODT,3702,10,spring,400,6147,-93.14777439810308
9,ODT,3702,10,spring,400,6147,-93.34464672184852
10,ODT,3702,10,spring,400,6147,-93.5055904568694
11,ODT,3702,10,spring,400,6147,-93.4735015626045
12,ODT,3702,10,spring,400,6147,-93.2540289476864
13,ODT,3702,10,spring,400,6147,-92.97695860917018
14,ODT,3702,10,spring,400,6147,-92.66998771670319
15,ODT,3702,10,spring,400,6147,-92.29086230238072
16,ODT,3702,10,spring,400,6147,-92.02828175220873
17,ODT,3702,10,spring,400,6147,-91.76766741023862
18,ODT,3702,10,spring,400,6147,-91.44234116868121
19,ODT,3702,10,spring,400,6147,-91.12572476067007
20,ODT,3702,10,spring,400,6147,-90.81523410975376
21,ODT,3702,10,spring,400,6147,-90.48689348347088
22,ODT,3702,10,spring,400,6147,-90.23035456238247
23,ODT,3702,10,spring,400,6147,-90.02735797670907
24,ODT,3702,10,spring,400,6147,-89.86118440184113
25,ODT,3702,10,spring,400,6147,-89.67916029983294
26,ODT,3702,10,spring,400,6147,-89.54739498655957
27,ODT,3702,10,spring,400,6147,-89.38926350805616
28,ODT,3702,10,spring,400,6147,-89.19062946354677
29,ODT,3702,10,spring,400,6147,-89.04643080131856
30,ODT,3702,10,spring,400,6147,-88.9102268795324
31,ODT,3702,10,spring,400,6147,-88.74282648081928
32,ODT,3702,10,spring,400,6147,-88.54796801271495
33,ODT,3702,10,spring,400,6147,-88.39507234310716
34,ODT,3702,10,spring,400,6147,-88.23586242850266
35,ODT,3702,10,spring,400,6147,-88.0922087033747
36,ODT,3702,10,spring,400,6147,-87.9557567773852
37,ODT,3702,10,spring,400,6147,-87.82588558496118
38,ODT,3702,10,spring,400,6147,-87.68339003770419
39,ODT,3702,10,spring,400,6147,-87.5732438460465
40,ODT,3702,10,spring,400,6147,-87.46267752793217
41,ODT,3702,10,spring,400,6147,-87.3455572909753
42,ODT,3702,10,spring,400,6147,-87.19917249506011
43,ODT,3702,10,spring,400,6147,-87.05363585676223
44,ODT,3702,10,spring,400,6147,-86.9364855999304
45,ODT,3702,10,spring,400,6147,-86.82419186068951
46,ODT,3702,10,spring,400,6147,-86.69612961978781
47,ODT,3702,10,spring,400,6147,-86.57808594065999
48,ODT,3702,10,spring,400,6147,-86.4597198253276
49,ODT,3702,10,spring,400,6147,-86.3410347462891
50,ODT,3702,10,spring,400,6147,-86.25170898979424
51,ODT,3702,10,spring,400,6147,-86.13316460629186
52,ODT,3702,10,spring,400,6147,-86.00093116781044
53,ODT,3702,10,spring,400,6147,-85.90966276667197
54,ODT,3702,10,spring,400,6147,-85.83986659564093
55,ODT,3702,10,spring,400,6147,-85.77280323141119
56,ODT,3702,10,spring,400,6147,-85.73092299847808
57,ODT,3702,10,spring,400,6147,-85.67779192798456
58,ODT,3702,10,spring,400,6147,-85.61372297114205
59,ODT,3702,10,spring,400,6147,-85.55187528730264
60,ODT,3702,10,spring,400,6147,-85.50481669191738
61,ODT,3702,10,spring,400,6147,-85.4671810645147
62,ODT,3702,10,spring,400,6147,-85.41516295028538
63,ODT,3702,10,spring,400,6147,-85.36435271006076
64,ODT,3702,10,spring,400,6147,-85.28815973439607
65,ODT,3702,10,spring,400,6147,-85.21058599253382
66,ODT,3702,10,spring,400,6147,-85.13923158649976
67,ODT,3702,10,spring,400,6147,-85.06999017650968
68,ODT,3702,10,spring,400,6147,-84.9777709344113
69,ODT,3702,10,spring,400,6147,-84.88833593719362
70,ODT,3702,10,spring,400,6147,-84.80483408667955
71,ODT,3702,10,spring,400,6147,-84.76884870144117
72,ODT,3702,10,spring,400,6147,-84.69672241233583
